NAME, RAJ, DECJ
J1202-5820, 12:02:28.325, -58:20:33.64
J1204-6843, 12:04:36.72, -68:43:17.19
J1210-5559, 12:10:05.98706, -55:59:03.8501
J1215-5328, 12:15:00.62, -53:28:31.6
J1220-6318, 12:20:17.86, -63:18:46.5
J1224-6407, 12:24:22.254, -64:07:53.87
J1225-6408, 12:25:42.8, -64:08:43
J1231-4609, 12:31:45.76, -46:09:45.2
J1232-4742, 12:32:19.1, -47:42:50.9
J1236-5033, 12:36:59.15, -50:33:36.3
J1237-6725, 12:37:25.9, -67:25:33.9
J1239+2453, 12:39:40.4614, 24:53:49.29
J1240-4124, 12:40:17.61, -41:24:51.7
J1243-6423, 12:43:17.101, -64:23:23.73
J1245-6238, 12:45:21.12, -62:38:55.9
J1246+2253, 12:46:49.363, 22:53:43.27
J1248-6444, 12:48:32.87, -64:44:00.0
J1249-6507, 12:49:54.32, -65:07:19.8
J1252-6314, 12:52:42.62, -63:14:32.7
J1255-6131, 12:55:54.86, -61:31:10.1
J1257-1027, 12:57:04.7625, -10:27:05.551
J1302-6350, 13:02:47.638337, -63:50:08.62859
J1303-6305, 13:03:00.02, -63:05:00.8
J1305-6455, 13:05:23.47, -64:55:28.5
J1306-6242, 13:06:44.6, -62:42:03
J1306-6617, 13:06:38.12, -66:17:21.2
J1311-1228, 13:11:52.64903881, -12:28:01.63900732
J1312-5402, 13:12:04.708, -54:02:42.5
J1312-5516, 13:12:53.533, -55:16:47.3
J1319-6105, 13:19:26.32, -61:05:26.2
J1320-3512, 13:20:12.68, -35:12:26.0
J1324-6302, 13:24:13.65, -63:02:21.1
J1326-6408, 13:26:32.433, -64:08:43.80
J1326-6700, 13:26:02.73, -67:00:49.2
J1327-6222, 13:27:17.176, -62:22:45.46
J1328-4357, 13:28:06.432, -43:57:44.12
J1328-4921, 13:28:33.58, -49:21:33.4
J1331-5245, 13:31:00.01, -52:45:25.4
J1333-4449, 13:33:44.829, -44:49:26.22
J1336-2522, 13:36:20.84, -25:22:01.6
J1338-6204, 13:38:09.247, -62:04:18.7
J1339-6618, 13:39:56.6, -66:18:07.8
J1340-6456, 13:40:00.32, -64:56:42.9
J1345-6115, 13:45:44.43, -61:15:30.6
J1346-4918, 13:46:22.35, -49:18:07.2
J1349-6130, 13:49:36.62, -61:30:17.12
J1350-5115, 13:50:16.159, -51:15:24.56
J1352-6803, 13:52:34.45, -68:03:37.1
J1355-5153, 13:55:58.692, -51:53:53.95
J1356-5521, 13:56:50.558, -55:21:12.96
J1359-6038, 13:59:58.248, -60:38:07.55
J1401-6357, 14:01:52.45, -63:57:42.0
J1403-7646, 14:03:04.1, -76:46:57.5
J1404+1159, 14:04:36.987, +11:59:16.0
J1410-7404, 14:10:07.370, -74:04:53.32
J1412-6111, 14:12:59.62, -61:11:30.5
J1414-6802, 14:14:25.7, -68:02:58
J1415-6621, 14:15:31.27, -66:21:12.2
J1416-6037, 14:16:30.59, -60:37:59.5
J1418-3921, 14:18:50.283, -39:21:18.51
J1420-5416, 14:20:29.11, -54:16:22.7
J1424-5556, 14:24:12.76, -55:56:13.9
J1424-5822, 14:24:32.130, -58:22:55.7
J1424-6438, 14:24:59.2, -64:38:10.0
J1425-5723, 14:25:36.56, -57:23:30.8
J1427-4158, 14:27:50.770, -41:58:56.3
J1428-5530, 14:28:26.240, -55:30:50.06
J1429-5935, 14:29:25.90, -59:35:58.9
J1430-6623, 14:30:40.735, -66:23:05.55
J1435-5954, 14:35:00.208, -59:54:49.5
J1443-5122, 14:43:26.97, -51:22:26
J1449-5846, 14:49:25.43, -58:46:40.4
J1453-6413, 14:53:32.665, -64:13:16.00
J1502-6128, 15:02:29.84, -61:28:50.3
J1503+2111, 15:03:54.60, +21:11:09.3
J1511-5414, 15:11:51.285, -54:14:40.32
J1512-5431, 15:12:05.7, -54:31:19
J1513-5739, 15:13:58.99, -57:39:01.4
J1514-4834, 15:14:14.563, -48:34:19.97
J1517-4356, 15:17:27.34, -43:56:17.9
J1518-0627, 15:18:59.1104, -06:27:07.70
J1518-3952, 15:18:56.968, -39:52:30.3
J1519-6106, 15:19:35.81, -61:06:54.6
J1522-5829, 15:22:42.244, -58:29:02.815
J1524-5706, 15:24:21.42, -57:06:34.64
J1527-3931, 15:27:58.828, -39:31:34.2
J1527-5552, 15:27:40.734, -55:52:08.352
J1528-4109, 15:28:08.033, -41:09:28.8
J1530-6343, 15:30:47.608, -63:43:13.6
J1531-5610, 15:31:27.901, -56:10:55.33
J1534-4428, 15:34:52.00, -44:28:09.4
J1534-5334, 15:34:08.278, -53:34:19.66
J1534-5405, 15:34:33.59, -54:05:39.7
J1535-4415, 15:35:55.92, -44:15:08.4
J1535-5848, 15:35:16.76, -58:48:27.7
J1536-3602, 15:36:17.382, -36:02:58.8
J1537-4912, 15:37:28.2, -49:12:03
J1539-4828, 15:39:40.84, -48:28:57
J1539-5626, 15:39:14.06, -56:26:26.3
J1539-6322, 15:39:24.70, -63:22:53.2
J1542-5034, 15:42:45.32, -50:34:03.66
J1543+0929, 15:43:38.8250, +09:29:16.339
J1543-0620, 15:43:30.1373, -06:20:45.332
J1544-5308, 15:44:59.8294, -53:08:46.953
J1546-5302, 15:46:07.4, -53:02:23.0
J1547-5750, 15:47:30.60, -57:50:29.4
J1548-4821, 15:48:23.26, -48:21:49.7
J1549+2113, 15:49:40.941, +21:13:26.9
